movietitle	minutes
Monsters, Inc.	92
Ratatouille	111
The Wizard of Oz 	101
All About Eve	138
 2001: A Space Odyssey 	141
Back to the Future 	116
Up 	96
Forrest Gump 	142
Citizen Kane	119
North by Northwest 	131
Dr. Strangelove	93
It's a Wonderful Life 	130
The Matrix 	136
Rear Window	112
Raiders of the Lost Ark 	115
Goodfellas 	146
Casablanca 	102
Star Wars 	121
The Lord of the Rings: The Return of the King 	201
The Dark Knight 	152
One Flew Over the Cuckoo's Nest 	133
Monty Python and the Holy Grail 	91
Singin' in the Rain 	103
The Godfather 	175
Pulp Fiction	154
Schindlers List 	195
The Shawshank Redemption 	142
12 Angry Men 	96
